YBL021C YOR358W
YDL088C YKL186C
YAR002W YDL207W
YDL130W YOL039W
YDR202C YGR140W
YKL190W YLR433C
YBL027W YPL131W
YDL132W YGR140W
YDR064W YNL096C
YDR279W YNL072W
YBR251W YJR113C
YGL103W YGR034W
YLR312W-A YOR150W
YJR101W YJR113C
YOR116C YOR340C
YLR117C YMR213W
YLR116W YML049C
YIL109C YPL085W
YDR532C YKL089W
YER162C YPL046C
YLR386W YNL325C
YBR084C-A YHR141C
YGR118W YGR214W
YDL002C YGR275W
YJR089W YMR094W
YBR055C YMR125W
YPL122C YPR056W
YBR156C YBR233W-A
YMR236W YPL047W
YGR135W YHR027C
YBL092W YDL130W
YJR063W YOR210W
YGR002C YLR055C
YGL066W YGR274C
YBR031W YJR094W-A
YJR113C YOR158W
YGL016W YJR042W
YDR103W YLR362W
YDR138W YNL139C
YDR192C YIL063C
YDR064W YHR203C
YJR050W YPR101W
YMR033W YOR189W
YCR031C YOR096W
YBL072C YML024W
YBR156C YPL018W
YDR054C YJR090C
YMR153W YPL125W
YDR245W YEL036C
YBR191W YKL180W
YGR156W YLR115W
YBR084C-A YPL143W
YER110C YMR047C
YDR363W-A YGR232W
YBR081C YDR448W
YJL176C YOR189W
YOL094C YOR144C
YKL144C YOR207C
YOL135C YPL082C
YLL045C YMR142C
YDL097C YGL141W
YCR052W YFL049W
YER025W YOR260W
YDR225W YGL244W
YNL069C YOL039W
YGR075C YLR147C
YDR156W YPR110C
YER172C YPR082C
YGR091W YPL178W
YIL126W YNR010W
YGR188C YPR046W
YER012W YOR157C
YDR188W YDR212W
YBR111W-A YDR176W
YDR318W YIL144W
YBL079W YGL172W
YFL039C YHR090C
YER025W YNL244C
YDR471W YLR029C
YKL074C YPR094W
YBL026W YHR156C
YDR240C YIR009W
YLR457C YPL255W
YHR058C YOR189W
YCR020W-B YPR034W
YDR308C YOR141C
YGR132C YJL183W
YDR324C YJL109C
YDL098C YMR288W
YDL140C YOR224C
YMR117C YPL209C
YGL240W YHR166C
YDL081C YOR063W
YIL018W YPL131W
YNL289W YPL031C
YBL093C YDR145W
YFL024C YPL047W
