From	To
Q9JM90	mmu:56792
P05230	hsa:2246
P08588	hsa:153
P41587	hsa:7434
Q9UBT7	hsa:8727
P46531	hsa:4851
P35285	mmu:19334
O43447	hsa:10465
P0AGE0	ecj:JW4020
P0AGE0	eco:b4059
Q60841	mmu:19699
P55209	hsa:4673
P36915	hsa:2794
P02771	hsa:174
Q9P2H0	hsa:57562
P63027	hsa:6844
P15873	sce:YBR088C
P28651	mmu:12319
Q08170	hsa:6429
P46630	ocu:100009152
Q6Q8Q6	ag:AAA26000
A2S9Z8	bml:BMA10229_A2818
P04695	bta:281794
Q08362	cre:ChreCp045
Q9BQB4	hsa:50964
P62161	rno:24242
P62161	rno:24244
P62161	rno:50663
P51572	hsa:10134
P36897	hsa:7046
P51149	hsa:7879
P62306	hsa:6636
P63098	hsa:5534
C6YVW8	fpt:BZ13_454
P38431	sce:YPR041W
O26901	mth:MTH_810
Q00322	mmu:12609
P07280	sce:YOL121C
Q9UKL0	hsa:23186
Q13418	hsa:3611
P17230	soe:2715606
P0C2H8	sce:YDL075W
P04637	hsa:7157
P20435	sce:YPR187W
Q5FWY5	rno:282827
Q95ND7	ptr:465887
P22139	sce:YOR210W
P05111	hsa:3623
Q32MZ4	hsa:9208
O32583	ecj:JW3955
O32583	eco:b4407
Q8VHQ7	rno:140594
P25311	hsa:563
Q9ERI2	mmu:11891
P35222	hsa:1499
P56589	hsa:8504
O00628	hsa:5191
P14576	mmu:24067
P14576	mmu:665155
P21781	hsa:2252
O43502	hsa:5889
P16471	hsa:5618
P31041	mmu:12487
Q5TD97	hsa:9457
Q9QZQ1	mmu:17356
P35295	mmu:19332
O08983	mmu:192236
O95983	hsa:53615
Q96P20	hsa:114548
P01308	hsa:3630
P14120	sce:YGL030W
Q00987	hsa:4193
P98170	hsa:331
Q15019	hsa:4735
Q9NR31	hsa:56681
Q92619	hsa:23526
B0CM87	panu:100137595
Q6PDY0	mmu:240514
Q8NEZ5	hsa:26263
Q9Y6F6	hsa:10335
B1LI60	ecm:EcSMS35_2042
P60293	ecj:JW0905
P60293	eco:b0922
P07273	sce:YGL043W
Q9Y6W5	hsa:10163
P60766	mmu:12540
B7M0T7	ecr:ECIAI1_3367
O75414	hsa:10201
Q15788	hsa:8648
Q9QUL0	rno:58937
Q81KC7	bar:GBAA_5074
Q12778	hsa:2308
P97503	mmu:12020
